screen_id,file_name,category,profile,expected_result,final_status,diff_roi_count,pass_roi_count,review_roi_count,fail_roi_count,total_diff_area_ratio,is_loading_like,memo,final_reasons
15-13,15-13.png,setting_control,setting_control_profile,PASS,REVIEW,10,0,9,1,0.062171,False,사람 기준 통과 가능,FAIL ROI 1개가 있으나 텍스트/설정/상태 화면의 OCR·SSIM 오탐 가능성으로 REVIEW 처리
15-14,15-14.png,setting_control,setting_control_profile,PASS,REVIEW,10,0,9,1,0.063687,False,사람 기준 통과 가능,FAIL ROI 1개가 있으나 텍스트/설정/상태 화면의 OCR·SSIM 오탐 가능성으로 REVIEW 처리
15-147,15-147.png,text_list,text_list_profile,FAIL,FAIL,9,0,4,5,0.044754,False,상태 표시 아이콘 다름,"텍스트 목록 화면에서 큰 누락/구성 차이 감지: area=0.044754, roi_count=9, fail_roi=5"
15-149,15-149.png,text_list,text_list_profile,FAIL,FAIL,10,0,7,3,0.060449,False,글씨 구성 위치가 아예 다름,"텍스트 목록 화면에서 큰 누락/구성 차이 감지: area=0.060449, roi_count=10, fail_roi=3"
15-150,15-150.png,popup,popup_profile,PASS,PASS,3,0,3,0,0.002474,False,사람 기준 통과 가능,팝업 화면의 허용 가능한 위치/렌더링 차이로 자동 PASS
15-22,15-22.png,text_list,text_list_profile,PASS,PASS,5,0,5,0,0.006071,False,사람 기준 통과 가능,텍스트 목록 화면의 작은 렌더링/위치 차이로 자동 PASS
15-27,15-27.png,text_list,text_list_profile,PASS,PASS,8,0,8,0,0.008018,False,사람 기준 통과 가능,텍스트 목록 화면의 작은 렌더링/위치 차이로 자동 PASS
15-4,15-4.png,text_list,text_list_profile,REVIEW,REVIEW,14,7,7,0,0.044769,True,글씨 색 희미함,REVIEW ROI 7개 존재 | 텍스트 목록 화면은 자동 PASS 기준보다 차이가 큼
15-49,15-49.png,text_list,text_list_profile,PASS,PASS,9,2,7,0,0.00925,False,사람 기준 통과 가능,텍스트 목록 화면의 작은 렌더링/위치 차이로 자동 PASS
15-51,15-51.png,text_list,text_list_profile,PASS,PASS,7,1,6,0,0.009268,False,사람 기준 통과 가능,텍스트 목록 화면의 작은 렌더링/위치 차이로 자동 PASS
15-62,15-62.png,text_list,text_list_profile,REVIEW,REVIEW,6,0,6,0,0.033477,False,글씨 색 희미함,REVIEW ROI 6개 존재 | 텍스트 목록 화면은 자동 PASS 기준보다 차이가 큼
15-63,15-63.png,guide_image,guide_image_profile,FAIL,FAIL,6,0,5,1,0.090975,False,좌측 그림이 아예 다름,"안내 이미지 화면에서 큰 그림 구성 차이 감지: area=0.090975, roi_count=6"
15-64,15-64.png,guide_image,guide_image_profile,FAIL,FAIL,6,0,5,1,0.092925,False,좌측 그림이 아예 다름,"안내 이미지 화면에서 큰 그림 구성 차이 감지: area=0.092925, roi_count=6"
15-65,15-65.png,guide_image,guide_image_profile,FAIL,FAIL,6,0,6,0,0.091567,False,좌측 그림이 아예 다름,"안내 이미지 화면에서 큰 그림 구성 차이 감지: area=0.091567, roi_count=6"
15-66,15-66.png,guide_image,guide_image_profile,FAIL,FAIL,6,0,5,1,0.089979,False,좌측 그림이 아예 다름,"안내 이미지 화면에서 큰 그림 구성 차이 감지: area=0.089979, roi_count=6"
15-67,15-67.png,text_list,text_list_profile,PASS,REVIEW,19,0,18,1,0.04353,False,사람 기준 통과 가능,FAIL ROI 1개가 있으나 텍스트/설정/상태 화면의 OCR·SSIM 오탐 가능성으로 REVIEW 처리
