screen_id,file_name,category,profile,expected_result,expected_binary_result,final_status,applied_rule,diff_roi_count,pass_roi_count,fail_roi_count,total_diff_area_ratio,overall_ssim,minimum_roi_ssim,confirmed_missing_text_count,high_confidence_text_mismatch_count,high_confidence_spacing_mismatch_count,matched_text_brightness_loss,localized_text_brightness_loss,progress_bar_fill_delta,gradient_smooth_color_area_delta,gradient_color_histogram_distance,memo,final_reasons
2-8,2-8.png,popup,popup_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
3-1,3-1.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,6,6,0,0.045275,0.904622,0.188701,0,0,0,0.0,0.0,,0.006401,0.161424,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
3-2,3-2.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.023844,0.923072,0.356591,0,0,0,0.0,0.0,,0.002004,0.344751,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
3-23,3-23.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.049233,0.900768,0.411217,0,0,0,0.0,0.0,,0.0,0.0,움직이는 카드 배경 차이는 검사에서 제외,선택된 카테고리의 PASS 허용 임계값 이내
3-25,3-25.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.00238,0.985607,0.732802,0,0,0,0.0,0.0,,3.3e-05,0.114808,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
3-26,3-26.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,24,24,0,0.017438,0.965452,0.32379,0,2,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
3-27,3-27.png,text_list,text_list_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
4-1,4-1.png,setting_control,setting_control_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,60°C 글씨 색 희미함,차이 ROI가 검출되지 않음
4-20,4-20.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.0546,0.905211,0.152828,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
4-3,4-3.png,setting_control,setting_control_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
4-43,4-43.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.0546,0.90579,0.152828,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
4-8,4-8.png,setting_control,setting_control_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,상단 좌측 글씨 아예 빠짐,차이 ROI가 검출되지 않음
4-9,4-9.png,setting_control,setting_control_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,상단 좌측 글씨 아예 빠짐,차이 ROI가 검출되지 않음
5-22,5-22.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,2,2,0,0.007752,0.986078,0.141483,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
5-24,5-24.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,2,2,0,0.007752,0.986078,0.141483,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
7-12,7-12.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.023215,0.926423,0.386041,0,0,0,0.0,0.0,,0.002118,0.345619,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
7-5,7-5.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,6,6,0,0.045078,0.911587,0.245126,0,0,0,0.0,0.0,,0.00638,0.160959,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
8-1,8-1.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,2,2,0,0.006676,0.986705,0.214317,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
8-10,8-10.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.044666,0.930072,0.177331,0,1,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
8-3,8-3.png,status_time,status_time_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
8-7,8-7.png,status_time,status_time_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
